Accession	Description
W5Q5A6	Uncharacterized protein OS=Ovis aries GN=FGG PE=4 SV=1 - [W5Q5A6_SHEEP]
W5Q5C2	Uncharacterized protein OS=Ovis aries GN=FSIP2 PE=4 SV=1 - [W5Q5C2_SHEEP]
W5Q5F8	Uncharacterized protein OS=Ovis aries GN=MEGF6 PE=4 SV=1 - [W5Q5F8_SHEEP]
W5Q5G1	Uncharacterized protein OS=Ovis aries GN=MGAT1 PE=4 SV=1 - [W5Q5G1_SHEEP]
W5Q5G8	Transketolase OS=Ovis aries GN=TKT PE=3 SV=1 - [W5Q5G8_SHEEP]
W5Q5H8	Fibrinogen alpha chain OS=Ovis aries GN=FGA PE=4 SV=1 - [W5Q5H8_SHEEP]
W5Q5P5	Uncharacterized protein OS=Ovis aries GN=GGH PE=4 SV=1 - [W5Q5P5_SHEEP]
W5Q5S8	Uncharacterized protein OS=Ovis aries GN=KRT79 PE=3 SV=1 - [W5Q5S8_SHEEP]
W5Q5W1	Uncharacterized protein OS=Ovis aries GN=SIL1 PE=4 SV=1 - [W5Q5W1_SHEEP]
W5Q5Z3	Uncharacterized protein OS=Ovis aries GN=KRT77 PE=3 SV=1 - [W5Q5Z3_SHEEP]
W5Q648	Uncharacterized protein (Fragment) OS=Ovis aries GN=MATR3 PE=4 SV=1 - [W5Q648_SHEEP]
W5Q689	Uncharacterized protein OS=Ovis aries GN=TPP1 PE=4 SV=1 - [W5Q689_SHEEP]
W5Q690	Uncharacterized protein OS=Ovis aries GN=ZCWPW1 PE=4 SV=1 - [W5Q690_SHEEP]
W5Q695	Transporter OS=Ovis aries GN=SLC6A14 PE=3 SV=1 - [W5Q695_SHEEP]
W5Q6E0	Uncharacterized protein (Fragment) OS=Ovis aries GN=CUL2 PE=3 SV=1 - [W5Q6E0_SHEEP]
W5Q6F7	Uncharacterized protein (Fragment) OS=Ovis aries GN=ZNF423 PE=4 SV=1 - [W5Q6F7_SHEEP]
W5Q6L8	Uncharacterized protein OS=Ovis aries GN=KRT14 PE=3 SV=1 - [W5Q6L8_SHEEP]
W5Q6M1	Uncharacterized protein OS=Ovis aries GN=LOC101121371 PE=3 SV=1 - [W5Q6M1_SHEEP]
W5Q6N3	Uncharacterized protein OS=Ovis aries GN=LOC101115115 PE=4 SV=1 - [W5Q6N3_SHEEP]
W5Q6N7	Uncharacterized protein (Fragment) OS=Ovis aries GN=TXNDC5 PE=4 SV=1 - [W5Q6N7_SHEEP]
W5Q6P7	Uncharacterized protein OS=Ovis aries GN=C3orf38 PE=4 SV=1 - [W5Q6P7_SHEEP]
W5Q6U0	Uncharacterized protein OS=Ovis aries GN=FASN PE=4 SV=1 - [W5Q6U0_SHEEP]
W5Q6Y5	Uncharacterized protein OS=Ovis aries GN=CFAP46 PE=4 SV=1 - [W5Q6Y5_SHEEP]
W5Q750	Uncharacterized protein OS=Ovis aries GN=PROS1 PE=4 SV=1 - [W5Q750_SHEEP]
W5Q754	Uncharacterized protein OS=Ovis aries GN=TTN PE=4 SV=1 - [W5Q754_SHEEP]
W5Q789	Uncharacterized protein OS=Ovis aries GN=KEL PE=4 SV=1 - [W5Q789_SHEEP]
W5Q7G2	Uncharacterized protein OS=Ovis aries GN=GNAI1 PE=4 SV=1 - [W5Q7G2_SHEEP]
W5Q7I2	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5Q7I2_SHEEP]
W5Q7I3	Uncharacterized protein OS=Ovis aries GN=BABAM1 PE=4 SV=1 - [W5Q7I3_SHEEP]
W5Q7J0	Uncharacterized protein (Fragment) OS=Ovis aries GN=APOB PE=4 SV=1 - [W5Q7J0_SHEEP]
W5Q7M9	Uncharacterized protein (Fragment) OS=Ovis aries GN=CMYA5 PE=4 SV=1 - [W5Q7M9_SHEEP]
W5Q7R8	Uncharacterized protein (Fragment) OS=Ovis aries GN=JUP PE=4 SV=1 - [W5Q7R8_SHEEP]
W5Q7X7	Uncharacterized protein OS=Ovis aries GN=FZD7 PE=4 SV=1 - [W5Q7X7_SHEEP]
W5Q7Z4	Uncharacterized protein OS=Ovis aries GN=ITGAE PE=3 SV=1 - [W5Q7Z4_SHEEP]
W5Q887	Uncharacterized protein OS=Ovis aries GN=LDLR PE=4 SV=1 - [W5Q887_SHEEP]
W5Q8A7	Uncharacterized protein OS=Ovis aries GN=RALA PE=4 SV=1 - [W5Q8A7_SHEEP]
W5Q8J3	Uncharacterized protein OS=Ovis aries GN=RRBP1 PE=4 SV=1 - [W5Q8J3_SHEEP]
W5Q8K4	Uncharacterized protein OS=Ovis aries GN=SLC3A2 PE=4 SV=1 - [W5Q8K4_SHEEP]
W5Q8K5	Uncharacterized protein OS=Ovis aries GN=C17orf85 PE=4 SV=1 - [W5Q8K5_SHEEP]
W5Q8Q7	Uncharacterized protein (Fragment) OS=Ovis aries GN=RPN2 PE=4 SV=1 - [W5Q8Q7_SHEEP]
W5Q8S5	Uncharacterized protein OS=Ovis aries GN=ERAP1 PE=4 SV=1 - [W5Q8S5_SHEEP]
W5Q8S6	Uncharacterized protein OS=Ovis aries GN=CTCFL PE=4 SV=1 - [W5Q8S6_SHEEP]
W5Q8Z4	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5Q8Z4_SHEEP]
W5Q970	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5Q970_SHEEP]
W5Q983	Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Ovis aries GN=GPD1 PE=3 SV=1 - [W5Q983_SHEEP]
W5Q989	Uncharacterized protein (Fragment) OS=Ovis aries GN=PLOD1 PE=4 SV=1 - [W5Q989_SHEEP]
W5Q9A1	Uncharacterized protein OS=Ovis aries GN=SMARCD1 PE=4 SV=1 - [W5Q9A1_SHEEP]
W5Q9A2	Uncharacterized protein (Fragment) OS=Ovis aries GN=AZGP1 PE=3 SV=1 - [W5Q9A2_SHEEP]
W5Q9B2	Uncharacterized protein OS=Ovis aries GN=ARHGDIA PE=4 SV=1 - [W5Q9B2_SHEEP]
W5Q9B3	Deoxyribonuclease OS=Ovis aries GN=DNASE1L2 PE=3 SV=1 - [W5Q9B3_SHEEP]
W5Q9C1	Uncharacterized protein (Fragment) OS=Ovis aries GN=ANKRD7 PE=4 SV=1 - [W5Q9C1_SHEEP]
W5Q9C5	Uncharacterized protein OS=Ovis aries GN=LNPEP PE=4 SV=1 - [W5Q9C5_SHEEP]
W5Q9F0	Uncharacterized protein OS=Ovis aries GN=PASK PE=4 SV=1 - [W5Q9F0_SHEEP]
W5Q9H2	Protein disulfide-isomerase OS=Ovis aries GN=P4HB PE=3 SV=1 - [W5Q9H2_SHEEP]
W5Q9I9	Uncharacterized protein OS=Ovis aries GN=ARID3A PE=4 SV=1 - [W5Q9I9_SHEEP]
W5Q9K1	Sulfhydryl oxidase OS=Ovis aries GN=QSOX1 PE=4 SV=1 - [W5Q9K1_SHEEP]
W5Q9L5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5Q9L5_SHEEP]
W5Q9M8	Uncharacterized protein OS=Ovis aries GN=LOC101111537 PE=4 SV=1 - [W5Q9M8_SHEEP]
W5Q9P7	Cofilin-1 (Fragment) OS=Ovis aries GN=CFL1 PE=4 SV=1 - [W5Q9P7_SHEEP]
W5QA07	Uncharacterized protein OS=Ovis aries GN=LOC101119384 PE=4 SV=1 - [W5QA07_SHEEP]
W5QA56	Uncharacterized protein OS=Ovis aries GN=ACBD6 PE=4 SV=1 - [W5QA56_SHEEP]
W5QA62	Olfactory receptor OS=Ovis aries GN=OR6C1 PE=3 SV=1 - [W5QA62_SHEEP]
W5QA64	Uncharacterized protein OS=Ovis aries GN=LOC101119895 PE=4 SV=1 - [W5QA64_SHEEP]
W5QAB1	Uncharacterized protein OS=Ovis aries GN=HPX PE=4 SV=1 - [W5QAB1_SHEEP]
W5QAJ4	Uncharacterized protein (Fragment) OS=Ovis aries GN=CNTROB PE=4 SV=1 - [W5QAJ4_SHEEP]
W5QAM3	Uncharacterized protein OS=Ovis aries GN=LRRC66 PE=4 SV=1 - [W5QAM3_SHEEP]
W5QB50	Uncharacterized protein OS=Ovis aries GN=ZKSCAN2 PE=4 SV=1 - [W5QB50_SHEEP]
W5QB61	Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Ovis aries GN=FKBP1A PE=4 SV=1 - [W5QB61_SHEEP]
W5QBJ2	Uncharacterized protein OS=Ovis aries GN=SLC38A10 PE=4 SV=1 - [W5QBJ2_SHEEP]
W5QBN3	Uncharacterized protein OS=Ovis aries GN=KCNH3 PE=4 SV=1 - [W5QBN3_SHEEP]
W5QBN4	Uncharacterized protein OS=Ovis aries GN=PCDHA11 PE=4 SV=1 - [W5QBN4_SHEEP]
W5QBP6	Glutamine synthetase OS=Ovis aries GN=GLUL PE=3 SV=1 - [W5QBP6_SHEEP]
W5QBW5	Uncharacterized protein OS=Ovis aries GN=LBP PE=4 SV=1 - [W5QBW5_SHEEP]
W5QC30	Uncharacterized protein (Fragment) OS=Ovis aries GN=TUBA1C PE=3 SV=1 - [W5QC30_SHEEP]
W5QC31	Uncharacterized protein OS=Ovis aries GN=FOXRED2 PE=4 SV=1 - [W5QC31_SHEEP]
W5QC34	Alpha-mannosidase OS=Ovis aries GN=MAN2A1 PE=3 SV=1 - [W5QC34_SHEEP]
W5QC35	Protein disulfide-isomerase OS=Ovis aries GN=PDIA4 PE=3 SV=1 - [W5QC35_SHEEP]
W5QC41	Pyruvate kinase (Fragment) OS=Ovis aries GN=PKM PE=3 SV=1 - [W5QC41_SHEEP]
W5QC71	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5QC71_SHEEP]
W5QCB4	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5QCB4_SHEEP]
W5QCB6	Uncharacterized protein (Fragment) OS=Ovis aries GN=ARIH1 PE=4 SV=1 - [W5QCB6_SHEEP]
W5QCD6	Isocitrate dehydrogenase [NADP] OS=Ovis aries GN=IDH1 PE=3 SV=1 - [W5QCD6_SHEEP]
W5QCH8	Uncharacterized protein (Fragment) OS=Ovis aries GN=NPTN PE=4 SV=1 - [W5QCH8_SHEEP]
W5QCI3	Uncharacterized protein (Fragment) OS=Ovis aries GN=CYB5R3 PE=4 SV=1 - [W5QCI3_SHEEP]
W5QCJ4	Uncharacterized protein OS=Ovis aries GN=COMMD9 PE=4 SV=1 - [W5QCJ4_SHEEP]
W5QCP7	Uncharacterized protein OS=Ovis aries GN=PACSIN2 PE=4 SV=1 - [W5QCP7_SHEEP]
W5QCR1	Uncharacterized protein (Fragment) OS=Ovis aries GN=CSF2RB PE=4 SV=1 - [W5QCR1_SHEEP]
W5QCV4	Uncharacterized protein OS=Ovis aries GN=DHRS1 PE=4 SV=1 - [W5QCV4_SHEEP]
W5QCX5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5QCX5_SHEEP]
W5QCY9	Uncharacterized protein (Fragment) OS=Ovis aries GN=NEDD8 PE=4 SV=1 - [W5QCY9_SHEEP]
W5QD08	Uncharacterized protein OS=Ovis aries GN=LAMC1 PE=4 SV=1 - [W5QD08_SHEEP]
W5QD11	Uncharacterized protein OS=Ovis aries GN=SORT1 PE=4 SV=1 - [W5QD11_SHEEP]
W5QD22	Uncharacterized protein OS=Ovis aries GN=IL2RB PE=4 SV=1 - [W5QD22_SHEEP]
W5QD26	Uncharacterized protein (Fragment) OS=Ovis aries GN=MPPED1 PE=4 SV=1 - [W5QD26_SHEEP]
W5QD33	Uncharacterized protein OS=Ovis aries GN=PHLDB2 PE=4 SV=1 - [W5QD33_SHEEP]
W5QD99	Ubiquitin carboxyl-terminal hydrolase OS=Ovis aries GN=USP40 PE=3 SV=1 - [W5QD99_SHEEP]
W5QDB7	Uncharacterized protein (Fragment) OS=Ovis aries PE=3 SV=1 - [W5QDB7_SHEEP]
W5QDE7	Uncharacterized protein (Fragment) OS=Ovis aries GN=PHF21B PE=4 SV=1 - [W5QDE7_SHEEP]
W5QDG7	Uncharacterized protein OS=Ovis aries GN=FN1 PE=4 SV=1 - [W5QDG7_SHEEP]
W5QDK7	Uncharacterized protein OS=Ovis aries GN=XRCC5 PE=4 SV=1 - [W5QDK7_SHEEP]
W5QDL6	Uncharacterized protein OS=Ovis aries GN=C2orf16 PE=4 SV=1 - [W5QDL6_SHEEP]
W5QDN5	Uncharacterized protein OS=Ovis aries GN=SMARCAL1 PE=4 SV=1 - [W5QDN5_SHEEP]
W5QE18	Uncharacterized protein OS=Ovis aries GN=PLB1 PE=4 SV=1 - [W5QE18_SHEEP]
W5QEE9	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5QEE9_SHEEP]
W5QEF5	Uncharacterized protein (Fragment) OS=Ovis aries GN=FAM212B PE=4 SV=1 - [W5QEF5_SHEEP]
W5QEL1	Uncharacterized protein OS=Ovis aries GN=B4GALT4 PE=4 SV=1 - [W5QEL1_SHEEP]
W5QER2	Uncharacterized protein OS=Ovis aries GN=PPM1J PE=3 SV=1 - [W5QER2_SHEEP]
W5QET6	Uncharacterized protein OS=Ovis aries GN=SLC16A1 PE=4 SV=1 - [W5QET6_SHEEP]
W5QEU1	Uncharacterized protein (Fragment) OS=Ovis aries GN=LOC101120221 PE=3 SV=1 - [W5QEU1_SHEEP]
W5QEU6	Annexin (Fragment) OS=Ovis aries GN=ANXA4 PE=3 SV=1 - [W5QEU6_SHEEP]
W5QEV9	Uncharacterized protein OS=Ovis aries GN=LRIG2 PE=4 SV=1 - [W5QEV9_SHEEP]
W5QEX4	Uncharacterized protein OS=Ovis aries GN=PLXNB2 PE=4 SV=1 - [W5QEX4_SHEEP]
W5QF05	Uncharacterized protein OS=Ovis aries GN=PDZRN4 PE=4 SV=1 - [W5QF05_SHEEP]
W5QF41	Uncharacterized protein OS=Ovis aries GN=ARHGAP25 PE=4 SV=1 - [W5QF41_SHEEP]
W5QF69	Uncharacterized protein (Fragment) OS=Ovis aries GN=FSTL1 PE=4 SV=1 - [W5QF69_SHEEP]
W5QF74	Uncharacterized protein OS=Ovis aries GN=EMC7 PE=4 SV=1 - [W5QF74_SHEEP]
W5QFH0	Uncharacterized protein OS=Ovis aries GN=ARSA PE=4 SV=1 - [W5QFH0_SHEEP]
W5QFH5	Uncharacterized protein (Fragment) OS=Ovis aries GN=RAB1A PE=3 SV=1 - [W5QFH5_SHEEP]
W5QFH6	Uncharacterized protein OS=Ovis aries GN=KRAS PE=4 SV=1 - [W5QFH6_SHEEP]
W5QFN9	Uncharacterized protein OS=Ovis aries GN=UGP2 PE=4 SV=1 - [W5QFN9_SHEEP]
W5QFP0	Uncharacterized protein OS=Ovis aries GN=THBS1 PE=4 SV=1 - [W5QFP0_SHEEP]
W5QFP8	Uncharacterized protein OS=Ovis aries GN=IQCB1 PE=4 SV=1 - [W5QFP8_SHEEP]
W5QFQ0	Malate dehydrogenase OS=Ovis aries GN=MDH1 PE=3 SV=1 - [W5QFQ0_SHEEP]
W5QG15	Uncharacterized protein OS=Ovis aries GN=SOX17 PE=4 SV=1 - [W5QG15_SHEEP]
W5QG17	Adenylyl cyclase-associated protein OS=Ovis aries GN=CAP1 PE=3 SV=1 - [W5QG17_SHEEP]
W5QG24	Uncharacterized protein (Fragment) OS=Ovis aries GN=PPT1 PE=4 SV=1 - [W5QG24_SHEEP]
W5QG52	Uncharacterized protein (Fragment) OS=Ovis aries GN=CHPF PE=4 SV=1 - [W5QG52_SHEEP]
W5QGA0	Anion exchange protein OS=Ovis aries GN=SLC4A3 PE=3 SV=1 - [W5QGA0_SHEEP]
W5QGD1	L-lactate dehydrogenase OS=Ovis aries GN=LDHB PE=3 SV=1 - [W5QGD1_SHEEP]
W5QGD9	Uncharacterized protein OS=Ovis aries GN=MUC20 PE=4 SV=1 - [W5QGD9_SHEEP]
W5QGF5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5QGF5_SHEEP]
W5QGM9	Uncharacterized protein OS=Ovis aries GN=MFI2 PE=3 SV=1 - [W5QGM9_SHEEP]
W5QGN0	Uncharacterized protein OS=Ovis aries GN=ACSL3 PE=4 SV=1 - [W5QGN0_SHEEP]
W5QH04	Uncharacterized protein (Fragment) OS=Ovis aries PE=4 SV=1 - [W5QH04_SHEEP]
W5QH23	Uncharacterized protein OS=Ovis aries GN=MASP1 PE=3 SV=1 - [W5QH23_SHEEP]
W5QH35	Uncharacterized protein OS=Ovis aries GN=CAPG PE=4 SV=1 - [W5QH35_SHEEP]
W5QH45	Uncharacterized protein OS=Ovis aries GN=KNG1 PE=4 SV=1 - [W5QH45_SHEEP]
W5QH54	Uncharacterized protein OS=Ovis aries GN=FETUB PE=4 SV=1 - [W5QH54_SHEEP]
W5QH58	Uncharacterized protein OS=Ovis aries GN=DNAJB11 PE=4 SV=1 - [W5QH58_SHEEP]
W5QH64	Synaptosomal-associated protein OS=Ovis aries GN=SNAP23 PE=3 SV=1 - [W5QH64_SHEEP]
W5QH96	Uncharacterized protein OS=Ovis aries GN=LIPH PE=3 SV=1 - [W5QH96_SHEEP]
W5QHE1	Uncharacterized protein OS=Ovis aries GN=DNAAF2 PE=4 SV=1 - [W5QHE1_SHEEP]
W5QHK3	Uncharacterized protein (Fragment) OS=Ovis aries GN=MCCC1 PE=4 SV=1 - [W5QHK3_SHEEP]
W5QHL6	Uncharacterized protein (Fragment) OS=Ovis aries GN=ITM2C PE=4 SV=1 - [W5QHL6_SHEEP]
W5QHP6	Uncharacterized protein OS=Ovis aries GN=ARHGDIB PE=4 SV=1 - [W5QHP6_SHEEP]
W5QHT5	Uncharacterized protein OS=Ovis aries GN=ECT2 PE=4 SV=1 - [W5QHT5_SHEEP]
W5QHZ3	Uncharacterized protein (Fragment) OS=Ovis aries GN=ATF7IP PE=4 SV=1 - [W5QHZ3_SHEEP]
W5QHZ5	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5QHZ5_SHEEP]
W5QI29	Uncharacterized protein OS=Ovis aries GN=ECM1 PE=4 SV=1 - [W5QI29_SHEEP]
W5QI36	Uncharacterized protein OS=Ovis aries GN=HEBP1 PE=4 SV=1 - [W5QI36_SHEEP]
W5QI59	Uncharacterized protein OS=Ovis aries GN=ADAM10 PE=4 SV=1 - [W5QI59_SHEEP]
W5QI86	Uncharacterized protein (Fragment) OS=Ovis aries GN=LRP6 PE=4 SV=1 - [W5QI86_SHEEP]
W5QI96	Uncharacterized protein OS=Ovis aries GN=RFX7 PE=4 SV=1 - [W5QI96_SHEEP]
W5QIC1	Uncharacterized protein (Fragment) OS=Ovis aries GN=SYNC PE=4 SV=1 - [W5QIC1_SHEEP]
W5QIE7	Uncharacterized protein OS=Ovis aries GN=UXS1 PE=4 SV=1 - [W5QIE7_SHEEP]
W5QIF7	Uncharacterized protein (Fragment) OS=Ovis aries GN=TSSK3 PE=4 SV=1 - [W5QIF7_SHEEP]
W5QII4	Uncharacterized protein OS=Ovis aries GN=DMXL2 PE=4 SV=1 - [W5QII4_SHEEP]
W5QIK8	Uncharacterized protein OS=Ovis aries GN=SELENBP1 PE=4 SV=1 - [W5QIK8_SHEEP]
W5QIN1	Uncharacterized protein (Fragment) OS=Ovis aries GN=CLEC7A PE=4 SV=1 - [W5QIN1_SHEEP]
W5QIR2	Uncharacterized protein OS=Ovis aries GN=C15orf48 PE=4 SV=1 - [W5QIR2_SHEEP]
W5QIT7	Uncharacterized protein OS=Ovis aries GN=FERMT2 PE=4 SV=1 - [W5QIT7_SHEEP]
W5QJ32	Uncharacterized protein OS=Ovis aries GN=MTHFD1 PE=3 SV=1 - [W5QJ32_SHEEP]
W5QJ48	Uncharacterized protein OS=Ovis aries GN=MPP5 PE=4 SV=1 - [W5QJ48_SHEEP]
W5QJ49	Uncharacterized protein OS=Ovis aries GN=ATP6V1D PE=4 SV=1 - [W5QJ49_SHEEP]
W5QJ62	Uncharacterized protein (Fragment) OS=Ovis aries GN=ACTN1 PE=4 SV=1 - [W5QJ62_SHEEP]
W5QJ68	Uncharacterized protein OS=Ovis aries GN=PLEKHD1 PE=4 SV=1 - [W5QJ68_SHEEP]
W5QJ98	Uncharacterized protein OS=Ovis aries PE=4 SV=1 - [W5QJ98_SHEEP]
W5QJA2	Uncharacterized protein (Fragment) OS=Ovis aries GN=CD14 PE=4 SV=1 - [W5QJA2_SHEEP]
X4ZFS1	Adiponectin OS=Ovis aries GN=AdipoQ PE=2 SV=1 - [X4ZFS1_SHEEP]
